Auction_id,Auction_Desc,round_num,bip_name,bip_desc,price,prov_winner,pw_bid_rnd_num,prev_prov_winner,prev_pw_bid_rnd_num
66,Advanced Wireless Services,161,AW-CMA714-A,Wisconsin 7 - Wood,446000,Wittenberg Telephone Company,40,Wittenberg Telephone Company,40
66,Advanced Wireless Services,161,AW-CMA715-A,Wisconsin 8 - Vernon,270000,"NEIT Wireless, LLC",34,"NEIT Wireless, LLC",34
66,Advanced Wireless Services,161,AW-CMA716-A,Wisconsin 9 - Columbia,566000,T-Mobile License LLC,64,T-Mobile License LLC,64
66,Advanced Wireless Services,161,AW-CMA717-A,Wisconsin 10 - Door,311000,T-Mobile License LLC,30,T-Mobile License LLC,30
66,Advanced Wireless Services,161,AW-CMA718-A,Wyoming 1 - Park,36000,Union Telephone Company,2,Union Telephone Company,2
66,Advanced Wireless Services,161,AW-CMA719-A,Wyoming 2 - Sheridan,422000,Union Telephone Company,35,Union Telephone Company,35
66,Advanced Wireless Services,161,AW-CMA720-A,Wyoming 3 - Lincoln,834000,Manti Telephone Company,27,Manti Telephone Company,27
66,Advanced Wireless Services,161,AW-CMA721-A,Wyoming 4 - Niobrara,82000,Union Telephone Company,1,Union Telephone Company,1
66,Advanced Wireless Services,161,AW-CMA722-A,Wyoming 5 - Converse,7200,Union Telephone Company,1,Union Telephone Company,1
66,Advanced Wireless Services,161,AW-CMA723-A,Puerto Rico 1 - Rincon,0,FCC,0,FCC,0
66,Advanced Wireless Services,161,AW-CMA724-A,Puerto Rico 2 - Adjuntas,0,FCC,0,FCC,0
66,Advanced Wireless Services,161,AW-CMA725-A,Puerto Rico 3 - Ciales,0,FCC,0,FCC,0
66,Advanced Wireless Services,161,AW-CMA726-A,Puerto Rico 4 - Aibonito,0,FCC,0,FCC,0
66,Advanced Wireless Services,161,AW-CMA727-A,Puerto Rico 5 - Ceiba,0,FCC,0,FCC,0
66,Advanced Wireless Services,161,AW-CMA728-A,Puerto Rico 6 - Vieques,0,FCC,0,FCC,0
66,Advanced Wireless Services,161,AW-CMA729-A,Puerto Rico 7 - Culebra,0,FCC,0,FCC,0
