auction_id,auction_description,round,item_name,item_description,pwb_amount,net_pwb_amount,pw_bidder,round_of_pwb,previous_pw_bidder,round_of_previous_pwb,previous_pwb_amount,previous_net_pwb_amount
73,700 MHz Band,261,WY-CMA729-B,Puerto Rico 7 - Culebra,"81,000","60,750",Worldcall Inc.,258,maxima international llc,257,"74,000",0
73,700 MHz Band,261,WY-CMA730-B,Virgin Islands 1 - St. Thomas,"303,000","227,250",Worldcall Inc.,139,Neptuno Media,138,"292,000",0
73,700 MHz Band,261,WY-CMA731-B,Virgin Islands 2 - St. Croix,"240,000","180,000",Worldcall Inc.,139,Neptuno Media,136,"235,000",0
73,700 MHz Band,261,WY-CMA732-B,Guam,"933,000","933,000",Choice Phone LLC,152,"PTI Pacifica, Inc.",151,"900,000",0
73,700 MHz Band,261,WY-CMA733-B,American Samoa,"21,000","15,750",Club 42 CM Limited Partnership,188,"AST Telecom, LLC",187,"19,000",0
73,700 MHz Band,261,WY-CMA734-B,Northern Mariana Islands,"70,000","70,000",Choice Phone LLC,169,Club 42 CM Limited Partnership,168,"67,000",0
73,700 MHz Band,261,WY-BEA001-E,Bangor ME,"118,000","118,000",Frontier Wireless LLC,40,"Triad 700, LLC",39,"113,000",0
73,700 MHz Band,261,WY-BEA002-E,Portland ME,"425,000","425,000",Frontier Wireless LLC,108,Worldcall Inc.,107,"409,000",0
73,700 MHz Band,261,WY-BEA003-E,Boston-Worcester MA-NH-RI-VT,"45,606,000","45,606,000",QUALCOMM Incorporated,148,Frontier Wireless LLC,145,"44,657,000",0
73,700 MHz Band,261,WY-BEA004-E,Burlington VT-NY,"318,000","318,000",Frontier Wireless LLC,94,Worldcall Inc.,93,"306,000",0
73,700 MHz Band,261,WY-BEA005-E,Albany-Schenectady-Troy NY,"424,000","424,000",Frontier Wireless LLC,147,"Miller, David",145,"414,000",0
73,700 MHz Band,261,WY-BEA006-E,Syracuse NY-PA,"2,050,000","2,050,000",Frontier Wireless LLC,8,"AT&T Mobility Spectrum, LLC",7,"1,708,000",0
73,700 MHz Band,261,WY-BEA007-E,Rochester NY-PA,"1,616,000","1,616,000",Frontier Wireless LLC,34,CenturyTel Broadband Wireless LLC,33,"1,489,000",0
73,700 MHz Band,261,WY-BEA008-E,Buffalo-Niagara Falls NY-PA,"971,000","971,000",Frontier Wireless LLC,8,"AT&T Mobility Spectrum, LLC",7,"809,000",0
73,700 MHz Band,261,WY-BEA009-E,State College PA,"431,000","431,000",Frontier Wireless LLC,22,"Cavalier Wireless, LLC",21,"392,000",0
73,700 MHz Band,261,WY-BEA010-E,NYC-Long Is. NY-NJ-CT-PA-MA-VT,"224,988,000","224,988,000",QUALCOMM Incorporated,54,Frontier Wireless LLC,51,"220,188,000",0
73,700 MHz Band,261,WY-BEA011-E,Harrisburg-Lebanon-Carlisle PA,"375,000","375,000",Frontier Wireless LLC,72,"Xanadoo 700 MHz DE, LLC",71,"363,000",0
73,700 MHz Band,261,WY-BEA012-E,Phil.-Atl. City PA-NJ-DE-MD,"47,408,000","47,408,000",QUALCOMM Incorporated,58,Frontier Wireless LLC,57,"45,848,000",0
73,700 MHz Band,261,WY-BEA013-E,Wash.-Balt. DC-MD-VA-WV-PA,"61,108,000","61,108,000",Frontier Wireless LLC,89,QUALCOMM Incorporated,62,"59,910,000",0
73,700 MHz Band,261,WY-BEA014-E,Salisbury MD-DE-VA,"272,000","272,000",Frontier Wireless LLC,174,"Miller, David",173,"262,000",0
73,700 MHz Band,261,WY-BEA015-E,Richmond-Petersburg VA,"3,324,000","3,324,000",Frontier Wireless LLC,69,QUALCOMM Incorporated,68,"3,214,000",0
73,700 MHz Band,261,WY-BEA016-E,Staunton VA-WV,"75,000","75,000",Frontier Wireless LLC,65,"Cavalier Wireless, LLC",64,"72,000",0
